**COMMON**,,
1000,Undefined exception,"There is undefined and unpredictable exception. If it's happened, please, make a screenshot of the error and contact with support team to clarify and sole the issue."
1001,Record not found,"Record with respective request parameter is not found in database. Please check your request, compare with documentation and send again"
1002,XML Conversion error. {0},"XML conversion got an error. It can happen if we can't convert document using xslt conversion map and source to envelope xml structure. Please pay attention to the error explanation and particular row with error in the message"
1003,Bad image data,"Image in request has been broken or couldn't be processed via system, please try to use another format or properties of the image"
1004,Empty field in request,"You send is empty required field in request. Please check your request, compare with documentation and send again"
1005,Too many requests,You have sent to many requests for particular endpoint from this particular use. Please wait 10 minutes and try again
1006,Validation failed. {0},If any validation of the fields failed you get this error. In the data of the error you can find particular explanation of the validation error
1007,Document has been already modified,Document has been already modified. Please request document again and change it again
1008,Invalid XML. {0},"XML structure isn't valid, read error description to clarify details"
1009,Verification code is absent,"Verification code in the request is missed. Please check your request, compare with documentation and send again"
1010,Please try later. Files are generating at the moment,Files are generating at the moment. To generate files one more time please wait until file generated and try again
1011,Unexpected content-type: {0},"Type of the uploaded document is incorrect and doesn't correspond to allowed. Allowed types are: csv, xls"
1012,"Can't calculate file hash","Application can't calculate hash of the file you sent"
1013,"Field '{0}' must be from {1} chars long",Entered quantity of symbols is less than minimal chars length allowed
1014,"Field '{0}' must be less than {1} chars long",Entered quantity of symbols is bigger than allowed maximum chars length
1015,"Field '{0}' must be from {1} to {2} chars long",Entered quantity of symbols should be in the interval of validation
1016,Unsupported locale: {0},Locale is not supported by the system
1017,{0},Password validation occurred. Password should be more complex and contains Latin symbols in lower and upper cases and special symbols
1018,Wrong timezone: {0},Timezone is not supported by the system
1019,File is not ready for download,File you requested is not ready for download. Please wait some time and try again
1020,Not valid filename: {0},Filename is not valid
1021,File upload error: {0},"File can't be uploaded. Please pay attention to the explanation in the error message"
1022,"Request header '{0}' required","Request header is required in this request. Please check your request, compare with documentation and send again"
1023,"Request query parameter '{0}' required","Request query is required in this request. Please check your request, compare with documentation and send again"
1024,"Request body parameter '{0}' required","Request body is required in this request. Please check your request, compare with documentation and send again"
1025,"Request path parameter '{0}' required","Request path parameter is required in this request. Please check your request, compare with documentation and send again"
1026,Authentication error,"Some authentication error, please check logs"
1027,Authentication token has been expired or revoked,Authentication token has been expired or revoked. To solve the issue authorized again
1028,Standard Spring MVC exceptions: {0},One of the standard server exceptions has occurred. Please see error message and check the request data for mistakes
1029,"File '{0}' exceeded max size: {1} > {2}",File size is bigger than limit for upload. Please pay attention to max size on the error code and try to upload file with less size.
1030,"File type mismatch for image '{0}'","Image file type is not correspond to allowed file types. Allowed file types: png, jpg, jpeg."
1031,"Image '{0}' exceeded max size: {1}x{2}",Image size is bigger than limit for upload. Please pay attention to max size on the error code and try to upload file with less size.
1032,Attachment {0} not found,Attachment with entered UUID has not found. Please check correctness of the entered value
1033,"Attachment '{0}' is not in {1} format","Attachment can't be uploaded because of the wrong file format. Please use one of the allowed format from the list"
1034,"Image source '{0}' is wrong","Image tag supports only 'data:' and 'image-uuid:' prefixes for source attribute"
1035,"Hash attribute has to be specified for '{0}'",Hash attribute is required to sign the document
1036,"Image hashes don't match for '{0}'",Check that hashes are correct for images
1037,Password cannot be reused,Do not use previous passwords
1038,Please accept Terms and Conditions and Privacy Policy,"Parameter agreed has to be 'true'. Please read Terms and Conditions and Privacy Policy."
1039,Image {0} was uploaded by another mailbox {1},Image cannot be used in current mailbox
1040,There must be 2 dates specified for a range,Range of date is incorrect. Correct range format is date/date in date format ISO 8601
1041,Requested range out of bounds,Requested range out of bounds
1042,Comment thread {0} was not found,Comment thread with entered UUID has not found. Please check correctness of the entered data
1043,Access to comment thread {0} is not allowed,Access to comment thread with entered UUID is forbidden. Please check correctness of the entered data
1044,Message with ID {0} in comment thread {1} was not found,No such message in comment thread. Please check correctness of the entered data
1045,Main thread for document already exists,Please specify xpath and create a new thread
1046,Thread {0} is already resolved or deleted and cannot be changed,There is no possibility to update the thread
1047,"Attachment '{0}' exceeded max name length: {1}",Attachment file name length is bigger than limit for upload. Please pay attention to max length on the error code and try to upload file with less length
1048,Password expired,Please renew the password
1049,"To protect your account from hacking, we temporarily blocked the possibility of authorization. Wait {0} minute(s) or click ""Forgot password?""",Please wait and try later
1050,Only one session is allowed. Please logout from another one,Additional session is blocked
1051,IP address is blocked or not allowed,Please contact the platform/account administrator
1052,Wrong IP or IP-range format for [{0}],Please fix IP format
1053,Sub-service is unavailable: {0},There is an infrastructure problem. Please try later
1054,Sub-service error with message: {0},There is an error on sub-service side
1055,Payload is too large,Please decrease the size of the file/request
1056,Email is expected for SSO authorization,Please change username to email in your Identity Provider
1057,Unsupported access level: {0},Access level is not supported in this context
1058,Shared category can only belong to shared category,Shared category can only belong to shared category
1059,"'uuids' or 'searchParams' have to be specified separately","Please send 'uuids' or 'searchParams'"
1060,"Image '{0}' is smaller than minimum size: {1}x{2}",Image size is smaller than limit for upload. Please pay attention to min size on the error code and try to upload file with larger size.
1061,"The email address or password is incorrect. Try again or click ""Forgot password?"" to reset it.",Entered email or password is invalid
1062,"The email address or password is incorrect. You have 1 attempt left. To avoid temporary blocking, click ""Forgot password?""",Entered email or password is invalid
1063,{0},Request is rejected by system. Check the correctness
**USER/PROFILE**,,
10001,User {0} not found,User with requested UUID has not found
10002,User {0} deleted,"User has been deleted and couldn't be used"
10003,Proof message is not valid,"Entered proof message is not valid. Proof message should be user email in upper case (f.e.: ""EMAIL@EXAMPLE.COM"")"
10004,Such email already in use: {0},User with particular email has been already registered
10005,User already activated,User has been already activated. To use system you have to authorized
10006,Invitation is for another user,"Opened content doesn't belong to your particular user, change user to see content"
10007,User notification {0} not found,There are no notifications for particular user
10008,Email validation code not found or expired,Email validation code has not found or expired. Check correctness of entered code or re-send new one.
10009,Invitation code not found or expired,Invitation  code has not found or expired. Check correctness of entered code or ask to re-send new one.
10010,"Your invitation link has been expired, please confirm registration",Invitation code has been expired. Try to register in common way and confirm email.
10011,Invitation not found or expired,"Invitation for particular user doesn't exist or expired"
10012,Invitation Email is empty,"It's impossible to create invitation because of empty required email field"
10013,No account provided for update,"Account option is missed in the request. Please check your request, compare with documentation and send again"
10014,No permissions provided for update,"Permissions list is missed in the request. Please check your request, compare with documentation and send again"
10015,"Wrong role '{0}' is used","Role is incorrect for particular request, please check that entered role UUID is existing"
10016,"Color can't be null","Color in the request can't be null. Please use color format #FFFFFF"
10017,"Color '{0}' has wrong format",Color in the request in wrong format. Please use color format #FFFFFF
10018,User is already blocked,User has been already blocked
10019,Bad ISO date: {0},"Format date is incorrect, please use ISO 8601 date formats"
10020,Already invited,This user has been already invited to this entity
10021,Corporate user cannot delete himself,Only admin of account can delete corporate user
10022,Corporate user cannot create new account,Corparate user is already assigned to account and it cannot be changed
10023,User {0} is not corporate,Current action can be applied only for corporate user
10024,"User '{0}' already has access to account/mailbox",This user has already has access to these entities
10025,Wrong password,Old password is wrong. Please check correctness of entered password
10026,User is inactive,User has not confirmed the email yet
10027,User {0} is corporate,Current action can be applied only for not corporate user
10028,ITN code has to be specified for company account,Please add missed property to request
10029,Incorrect phone number,Phone number should be in international format
10030,This endpoint can only be executed for user with expired password,Active user should use another authorized endpoint
10031,User already exists,Email already registered in system
10032,User is blocked,Ask your system administrator to unblock
**ACCOUNT**,,
20001,Account {0} not found,Account with entered account UUID has not found. Please check request data
20002,Account {0} deleted,Account with entered account UUID has been deleted.
20004,Only one mailbox allowed,In this request only one mailbox is allowed
20005,Role has no account,Account UUID is necessary parameter in request. Please enter valid account UUID to create role
20006,Role {0} not found,Role with entered UUID in request has not found. Please check request data
20007,Role with such name already exists,Role with particular name has already existed. Please enter new name or remove existing role
20008,No role permissions data found,"Role permissions data is required in this request. Please check request data, compare it with documentation and send again"
20009,No role type found,"Role type isn't correct in request. Supported role types: Account, Mailbox and System. Please check request data, compare it with documentation and send again"
20010,Unsupported permission set,"Permissions in the request aren't correct. Please check request data, compare it with documentation and send again"
20011,"Parent category shouldn't have access level higher than subordinated","Parent category shouldn't have access level higher than subordinated"
20012,"Account '{0}' has no other owners","Account with entered UUID doesn't have other owners. Add at least one more owner ot Account and do the action again"
20013,Account domain name not found,Account domain name empty in create domain request body
20014,Account domain name size exceeded maximum size 256,Account domain name exceeded max allowed size (256 characters) in create domain request body
20015,"Can't resolve domain '{0}'","Domain can't be resolved to IP. Possible that it is not exists"
20016,"Can't use domain '{0}'",Domain already verified and used by another account or already added to current account
20017,"Domain '{0}' not found",Domain not found in database by domainUuid
20018,Unknown domain verification method,Domain verification method was not found in request body during domain verify request
20019,Domain already verified,"Domain already verified and verify info can't be changed"
20020,Only INACTIVE domains can be activated,"Can't activate unverified or already activated domain"
20021,Only ACTIVE domains can be deactivated,"Can't deactivate unverified or already deactivated domain"
20022,Domain verification expired,Domain verification expired. Please use verify method to renew verification
20023,Domain verify info not found,Domain verify info not found during domain confirmation or domain check
20024,"Domain '{0}' already verified by another account","Domain has pass verification, but it was already added and verified by another account."
20025,"Domain and account don't match","Try to access domain, which is not belongs to current account"
20026,The user policy for the account should be stricter than the global one.,Please check the user global policies /api/v1/settings
20027,"Domain '{0}' has to be verified and active",Domain is not active during corporate user creation
20028,Invitation vs existing permission conflict,User has already have access to the entity and cannot be invited any more to this entity
20029,Invitations roles & permissions empty,"Roles or permissions are missed in the request. Please check your request, compare with documentation and send again"
20030,"Account '{0}' has no verified domains",Account has no any verified domains when required
20031,Error during XLSX generation,Xlsx file generation error
20032,"User's sheet not found",Corporate import excel file has no sheet with users
20033,Duplicated user {0},Duplicated user email in corporate users import file
20034,Wrong account uuid {0} on account users sheet,Wrong account uuid found on account users sheet
20035,Cell A1 not found on account users sheet,Cell A1 not found on account users sheet
20036,Mailbox {0} not belongs to account or not exists,Mailbox not belongs to account or not exists
20037,Duplicated mailbox {0} sheet found,Found two sheets with same mailbox uuid
20038,Cell A1 not found on mailbox users sheet,Cell A1 not found on mailbox users sheet
20039,Undefined user {0} found,"Found user email not listed on user's sheet"
20040,Listed roles error for user {0},Listed role(s) not exists or belongs to another account
20041,Listed permissions error for user {0},Listed permission(s) not exists
20042,"Can't open file as a spreadsheet",Uploaded file not a valid XLSX binary
20043,"Role {0} can't be deleted because it assigned to users or invitations",Role is used and assigned to users or invitations
20044,The sum of letters of different types cannot be greater than the maximum length,Please update password policy with correct values
20045,"User doesn't belong to the account",Listed user(s) belongs to another account
**MAILBOX**,,
30001,Mailbox {0} not found,"Entered mailbox couldn't be found in the system"
30002,Mailbox {0} deleted,Mailbox has been deleted. Please use active mailbox.
30003,"Mailbox name can't be empty","Mailbox name shouldn't be empty. It should contain at least one symbol"
30004,Mailbox name size exceeded 256,Mailbox mane could be longer than 256 symbols
30005,"Mailbox Alias name can't be empty","Mailbox alias name shouldn't be empty. It should contain at least three symbols"
30006,Mailbox Alias name size exceeded maximum size,"Mailbox alias name shouldn't be longer than 256 symbols"
30007,Alias not found or attached to other mailbox,Alias you have tried to delete has not found or related to another mailbox
30008,Contact {0} not found,"Category with UUID you entered doesn't exist or has not found"
30010,Category {0} not found,"Category with ID you entered doesn't exist or has not found"
30011,Invalid parentId value,"ID of parent category isn't valid"
30012,Alias already exists,Alias with entered name has been already existed
30013,Empty category id,Category ID is empty in request. Please enter required parameter category ID/
30014,"Can't change category access to official","It's impossible to change category access to official. Official categories can create only system user."
30015,Category already exists,Category with entered ID has been already existed
30016,Mailbox {0} for another account,"Mailbox doesn't belong to this account. Please check your request and be sure that mailbox you want to invite belong to this account"
30017,Mailbox {0} has no other owners,"Mailbox doesn't have another owner and can't be left"
30018,Sender mailbox not found,"Mailbox UUID of Sender has not found, please check correctness of request"
30019,Mailbox UUID is empty,"Mailbox UUID couldn't be empty"
30020,Mailbox UUID is invalid or empty,Mailbox UUID is invalid or empty. Please send valid request with valid Mailbox UUID
30021,Email is forbidden for alias name,Please do not use email as an alias name to avoid misunderstandings
**TEMPLATE**,,
40001,Document {0} not found,Document with entered ID has not found. Please check correctness of the entered ID
40002,Template {0} is archived,"Template with entered ID is archived. You can't use archived templates."
40003,Template {0} not found,Template with entered UUID has not found. Please check correctness of the entered UUID
40004,Template Data {0} not found,"Template data is not found in storage. Please check your request, compare with documentation and send again"
40005,Template Data not found for template {0},"Template data is not found in storage. Please check your request, compare with documentation and send again"
40006,Template must have access level equal or wider than category access level,Template access level has to be equal or bigger than category access level
40007,"Template 'name' is mandatory and must be from 3 till 100 characters long",Template name is mandatory and must be from 3 till 100 characters long in request
40008,"Template 'description' is mandatory and must be from 3 till 255 characters long",Template description is mandatory and must be from 3 till 255 characters long in request
40009,Must have other roles except sender,Template has to have at least one another role except sender
40010,Must be only 1 sender,Template should contain only one role with type sender
40011,First role must be sender,First role in the template flow should be sender
40012,Must be at least 2 roles,"Template has to have at least two roles, one sender is required and another one recipient or signer"
40013,"Role '{0}' has no fields assigned","Role in the template doesn't have assigned fields. Please add fields with assigned to this role or make this role as a copy"
40014,Notification must be earlier than expiration,Please set expire.notifyIn < expire.after
40015,Signer roles without signatures: {0},"Signer role doesn't have signature (EDS) field related to him in the template. Please add one or remove signer role"
40016,Following fields assigned on non-existing roles: {0},The fields assigned to non-existing roles. Please re-assign fields to existing roles or remove fields
40017,Following roles has no fields assigned: {0},"Role with particular ID doesn't have assigned fields in the documents. Please add fields, remove roles ro set role as a copy"
40018,"Template validation error in document '{0}' lookup '{1}'. Related field '{2}' not found in document fields","Lookup field doesn't have related dictionary field in the document. Please add dictionary field to the document or remove lookup field"
40019,"Template validation error in document '{0}' lookup '{1}'. Related field can't be used as lookup source","Lookup field doesn't have related source in the dictionary. Please check availability of the dictionary/dictionary record or remove lookup field"
40020,Duplicated document ids: {0},Document IDs are duplicated in the template. Document IDs should be unique inside template
40021,Duplicated document names: {0},Document name are duplicated in the template. Document names should be unique inside template
40022,"Field '{0}' has min value > max value","Entered values of the min value is bigger than max value. It's impossible to set this parameters for field."
40023,"Field '{0}' has precision value larger than allowed {1}",Entered precision value for the field is bigger than allowed for particular type of the field
40024,Not valid template subject: {0},"Template subject contains invalid symbols. Please be sure that you don't use one of them: [\\/:""*?<>|\p{C}]+"
40025,Template {0} already deleted,Tempalte has been deleted and could be used to envelope creation
40026,Empty template data,Tempalte data parameter is empty. Please use valid structure of the request
40027,Not valid document id: {0},Document ID is not valid
40028,Not valid document title: {0},"Document title contains invalid symbols. Please be sure that you don't use one of them: [\\/:""*?<>|\p{C}]+"
40029,"At least one non-optional field required in a table '{0}'",Table field has to have at least one non-optional field inside and also this at least one non-optional field assigned to the table owner
40030,Dynamic table head not found. Table name: {0},"Table structure isn't correct. Table should contains head."
40031,Dynamic table head row not found. Table name: {0},"Table structure isn't correct. Table should contain only one head row."
40032,Dynamic table head row columns not found. Table name: {0},"Table structure isn't correct. Table should contain columns in the structure."
40033,Dynamic table inside another table is forbidden. Parent table name: {0},"It's impossible to set table inside another table"
40034,Dynamic table body not found. Table name: {0},"Table structure isn't correct. Table should contains body."
40035,Illegal style attribute: {0},Table attribute is illegal. Allowed attributes for table: margin
40036,"Field '{0}' assigned to wrong role","Field assigned to role who can't fill data. Restricted roles are Signer and Copy"
40037,"Template validation error in document '{0}' field has incorrect name: '{1}'","Fields in the template shouldn't contain spaces or special symbols. Please use names such as name, name1, name_1"
40038,No iterable row in the iterable table!,Table should contain at least on row
40039,Signature assigned to not signer role {0},"Signature field is assigned to the role which is different from signer, please re-assign the field or remove signature field"
40040,Duplicated signature name in document {0},"Names of the signatures field are duplicated. It's necessary than for one document should be unique names of the fields"
40041,"Missed document info section, document id: {0}","Structure of the template data isn't correct. Please add info sections to the document structure"
40042,Too much signatures per role {0},Signature role can has one signature field per one document.
40043,Too many fields in document,External document can contain only one attachment field
40044,"Unexpected field type '{0}'","Type of the entered field is not supported. Supported types of fields: text, number, money, datetime, select-dictionary, yesno, attachment"
40045,Unexpected document body content: {0},"Only one type of field ""attachment"" is allowed for external document"
40046,Dynamic table name not found,Name of the dynamic table is missed
40047,Dynamic table roleId not found,"Table field doesn't have assigned role"
40048,Template has no signatures,"Documents inside template doesn't have signatures field, but has signer roles. Please add signatures fields or remove signers role and try again"
40049,Signature by role id was not found,"Signature field doesn't have role with respective role UUID. Please add signer role or remove signature field and try again"
40050,"Can't change template access to official","Template access level couldn't be changed to the official access level. Only system user can change access level to the official"
